UNCERTAINTYclefw2vecMLPre@10;UNCERTAINTYclefw2vecRFre@10;UNCERTAINTYclefw2vecLRre@10;UNCERTAINTYclefw2vecSVMrbfre@10;UNCERTAINTYclefgloveMLPre@10;UNCERTAINTYclefgloveRFre@10;UNCERTAINTYclefgloveLRre@10;UNCERTAINTYclefgloveSVMrbfre@10;UNCERTAINTYclefBERTMLPre@10;UNCERTAINTYclefBERTRFre@10;UNCERTAINTYclefBERTLRre@10;UNCERTAINTYclefBERTSVMrbfre@10;UNCERTAINTYclefBioBERTMLPre@10;UNCERTAINTYclefBioBERTRFre@10;UNCERTAINTYclefBioBERTLRre@10;UNCERTAINTYclefBioBERTSVMrbfre@10;RANDOMclefw2vecMLPre@10;RANDOMclefw2vecRFre@10;RANDOMclefw2vecLRre@10;RANDOMclefw2vecSVMrbfre@10;RANDOMclefgloveMLPre@10;RANDOMclefgloveRFre@10;RANDOMclefgloveLRre@10;RANDOMclefgloveSVMrbfre@10;RANDOMclefBERTMLPre@10;RANDOMclefBERTRFre@10;RANDOMclefBERTLRre@10;RANDOMclefBERTSVMrbfre@10;RANDOMclefBioBERTMLPre@10;RANDOMclefBioBERTRFre@10;RANDOMclefBioBERTLRre@10
0.097;0.138;0.079;0.013;0.036;0.104;0.085;0.006;0.256;0.286;0.224;0.042;0.274;0.247;0.194;0.012;0.068;0.096;0.061;0.01;0.068;0.074;0.068;0.008;0.032;0.078;0.119;0.018;0.057;0.059;0.138
0.14;0.163;0.105;0.064;0.085;0.128;0.128;0.031;0.294;0.348;0.35;0.214;0.29;0.314;0.274;0.125;0.09;0.096;0.07;0.041;0.083;0.082;0.088;0.027;0.033;0.083;0.133;0.03;0.061;0.06;0.148
0.145;0.181;0.12;0.121;0.107;0.144;0.147;0.124;0.328;0.385;0.357;0.252;0.302;0.342;0.296;0.254;0.095;0.107;0.083;0.046;0.096;0.098;0.092;0.058;0.035;0.086;0.138;0.087;0.061;0.068;0.15
0.162;0.182;0.14;0.142;0.109;0.155;0.166;0.142;0.35;0.408;0.379;0.382;0.334;0.425;0.347;0.421;0.1;0.108;0.09;0.061;0.122;0.102;0.095;0.074;0.04;0.089;0.147;0.1;0.07;0.071;0.153
0.173;0.195;0.165;0.167;0.114;0.181;0.168;0.145;0.353;0.444;0.421;0.427;0.358;0.43;0.408;0.445;0.104;0.111;0.091;0.092;0.126;0.105;0.098;0.099;0.044;0.097;0.152;0.117;0.074;0.074;0.158
0.175;0.197;0.176;0.181;0.12;0.196;0.182;0.151;0.372;0.503;0.493;0.469;0.39;0.499;0.438;0.489;0.106;0.12;0.092;0.104;0.128;0.109;0.107;0.118;0.048;0.102;0.154;0.128;0.076;0.077;0.161
0.195;0.213;0.201;0.214;0.124;0.214;0.21;0.174;0.394;0.509;0.521;0.485;0.433;0.525;0.458;0.498;0.107;0.135;0.098;0.111;0.143;0.112;0.108;0.119;0.049;0.109;0.154;0.132;0.08;0.082;0.176
0.197;0.254;0.204;0.225;0.126;0.218;0.218;0.176;0.419;0.513;0.537;0.505;0.436;0.529;0.497;0.513;0.108;0.137;0.099;0.117;0.169;0.117;0.108;0.133;0.05;0.114;0.173;0.138;0.101;0.108;0.177
0.2;0.259;0.205;0.228;0.129;0.223;0.251;0.224;0.419;0.546;0.543;0.547;0.477;0.532;0.554;0.519;0.112;0.142;0.101;0.12;0.175;0.125;0.108;0.133;0.057;0.116;0.175;0.148;0.12;0.108;0.185
0.215;0.265;0.228;0.237;0.132;0.223;0.263;0.228;0.481;0.565;0.561;0.56;0.486;0.571;0.559;0.555;0.118;0.144;0.102;0.121;0.178;0.128;0.113;0.144;0.082;0.13;0.178;0.165;0.126;0.111;0.201
