UNCERTAINTYclefw2vecMLPre@10;UNCERTAINTYclefw2vecRFre@10;UNCERTAINTYclefw2vecLRre@10;UNCERTAINTYclefw2vecSVMrbfre@10;UNCERTAINTYclefgloveMLPre@10;UNCERTAINTYclefgloveRFre@10;UNCERTAINTYclefgloveLRre@10;UNCERTAINTYclefgloveSVMrbfre@10;UNCERTAINTYclefBERTMLPre@10;UNCERTAINTYclefBERTRFre@10;UNCERTAINTYclefBERTLRre@10;UNCERTAINTYclefBERTSVMrbfre@10;UNCERTAINTYclefBioBERTMLPre@10;UNCERTAINTYclefBioBERTRFre@10;UNCERTAINTYclefBioBERTLRre@10;UNCERTAINTYclefBioBERTSVMrbfre@10;RANDOMclefw2vecMLPre@10;RANDOMclefw2vecRFre@10;RANDOMclefw2vecLRre@10;RANDOMclefw2vecSVMrbfre@10;RANDOMclefgloveMLPre@10;RANDOMclefgloveRFre@10;RANDOMclefgloveLRre@10;RANDOMclefgloveSVMrbfre@10;RANDOMclefBERTMLPre@10;RANDOMclefBERTRFre@10;RANDOMclefBERTLRre@10;RANDOMclefBERTSVMrbfre@10;RANDOMclefBioBERTMLPre@10;RANDOMclefBioBERTRFre@10;RANDOMclefBioBERTLRre@10;RANDOMclefBioBERTSVMrbfre@10
0.043;0.042;0.044;0.036;0.039;0.04;0.04;0.033;0.053;0.048;0.05;0.034;0.044;0.052;0.045;0.031;0.039;0.045;0.042;0.03;0.048;0.042;0.042;0.032;0.05;0.049;0.053;0.035;0.054;0.044;0.053;0.036
0.041;0.045;0.046;0.045;0.051;0.046;0.045;0.036;0.046;0.048;0.058;0.04;0.042;0.052;0.047;0.039;0.045;0.047;0.046;0.042;0.048;0.043;0.045;0.037;0.04;0.049;0.053;0.038;0.054;0.04;0.054;0.04
0.044;0.048;0.051;0.049;0.051;0.047;0.046;0.051;0.046;0.049;0.055;0.045;0.051;0.052;0.048;0.044;0.045;0.045;0.045;0.043;0.049;0.045;0.045;0.043;0.037;0.049;0.051;0.05;0.05;0.041;0.054;0.045
0.045;0.046;0.047;0.052;0.05;0.047;0.047;0.053;0.053;0.05;0.055;0.051;0.05;0.056;0.048;0.047;0.046;0.049;0.047;0.038;0.051;0.045;0.044;0.045;0.041;0.05;0.055;0.051;0.048;0.041;0.054;0.049
0.044;0.048;0.058;0.052;0.05;0.05;0.048;0.052;0.052;0.05;0.056;0.052;0.049;0.057;0.048;0.046;0.045;0.049;0.047;0.044;0.052;0.044;0.044;0.047;0.044;0.051;0.052;0.05;0.044;0.039;0.054;0.053
0.046;0.048;0.054;0.051;0.051;0.051;0.053;0.052;0.054;0.051;0.058;0.052;0.046;0.059;0.049;0.048;0.046;0.049;0.047;0.049;0.056;0.048;0.045;0.047;0.045;0.05;0.052;0.052;0.051;0.041;0.054;0.054
0.049;0.049;0.055;0.052;0.05;0.053;0.052;0.053;0.05;0.052;0.059;0.053;0.049;0.059;0.047;0.048;0.047;0.052;0.046;0.049;0.057;0.047;0.046;0.046;0.037;0.052;0.052;0.054;0.046;0.043;0.055;0.054
0.051;0.053;0.058;0.052;0.051;0.053;0.052;0.053;0.044;0.051;0.06;0.053;0.05;0.061;0.048;0.047;0.047;0.053;0.046;0.045;0.056;0.046;0.046;0.047;0.037;0.053;0.053;0.054;0.045;0.046;0.055;0.055
0.048;0.054;0.054;0.052;0.051;0.051;0.053;0.059;0.05;0.052;0.06;0.054;0.049;0.059;0.052;0.049;0.045;0.053;0.048;0.047;0.052;0.046;0.046;0.047;0.038;0.053;0.053;0.055;0.046;0.049;0.055;0.055
0.05;0.052;0.054;0.055;0.051;0.053;0.051;0.059;0.053;0.052;0.059;0.054;0.047;0.059;0.052;0.051;0.047;0.054;0.049;0.046;0.053;0.047;0.046;0.048;0.044;0.054;0.053;0.054;0.047;0.049;0.058;0.053
