UNCERTAINTYepistew2vecMLPre@10;UNCERTAINTYepistew2vecRFre@10;UNCERTAINTYepistew2vecLRre@10;UNCERTAINTYepistew2vecSVMrbfre@10;UNCERTAINTYepistegloveMLPre@10;UNCERTAINTYepistegloveRFre@10;UNCERTAINTYepistegloveLRre@10;UNCERTAINTYepistegloveSVMrbfre@10;UNCERTAINTYepisteBERTMLPre@10;UNCERTAINTYepisteBERTRFre@10;UNCERTAINTYepisteBERTLRre@10;UNCERTAINTYepisteBERTSVMrbfre@10;UNCERTAINTYepisteBioBERTMLPre@10;UNCERTAINTYepisteBioBERTRFre@10;UNCERTAINTYepisteBioBERTLRre@10;UNCERTAINTYepisteBioBERTSVMrbfre@10;RANDOMepistew2vecMLPre@10;RANDOMepistew2vecRFre@10;RANDOMepistew2vecLRre@10;RANDOMepistew2vecSVMrbfre@10;RANDOMepistegloveMLPre@10;RANDOMepistegloveRFre@10;RANDOMepistegloveLRre@10;RANDOMepistegloveSVMrbfre@10;RANDOMepisteBERTMLPre@10;RANDOMepisteBERTRFre@10;RANDOMepisteBERTLRre@10;RANDOMepisteBERTSVMrbfre@10;RANDOMepisteBioBERTMLPre@10;RANDOMepisteBioBERTRFre@10;RANDOMepisteBioBERTLRre@10;RANDOMepisteBioBERTSVMrbfre@10
0.034;0.033;0.035;0.006;0.034;0.033;0.035;0.008;0.032;0.029;0.033;0.009;0.033;0.032;0.033;0.003;0.034;0.033;0.034;0.023;0.034;0.033;0.035;0.021;0.033;0.03;0.033;0.016;0.033;0.03;0.033;0.01
0.033;0.033;0.034;0.033;0.033;0.034;0.034;0.038;0.034;0.033;0.033;0.029;0.033;0.033;0.033;0.02;0.034;0.032;0.034;0.04;0.037;0.032;0.035;0.04;0.033;0.031;0.033;0.035;0.036;0.032;0.033;0.033
0.032;0.032;0.033;0.041;0.033;0.033;0.033;0.041;0.034;0.033;0.032;0.038;0.033;0.033;0.032;0.035;0.034;0.032;0.034;0.041;0.039;0.033;0.034;0.039;0.032;0.031;0.033;0.038;0.033;0.031;0.033;0.039
0.032;0.031;0.032;0.037;0.033;0.032;0.032;0.039;0.033;0.032;0.032;0.037;0.033;0.032;0.032;0.039;0.033;0.032;0.034;0.036;0.04;0.033;0.034;0.036;0.031;0.032;0.033;0.036;0.032;0.032;0.032;0.037
0.031;0.031;0.032;0.033;0.035;0.032;0.032;0.037;0.034;0.031;0.032;0.036;0.033;0.031;0.032;0.035;0.033;0.032;0.034;0.034;0.039;0.033;0.034;0.034;0.031;0.032;0.033;0.035;0.03;0.032;0.032;0.035
0.031;0.031;0.032;0.032;0.035;0.031;0.032;0.036;0.034;0.031;0.031;0.034;0.034;0.031;0.032;0.033;0.033;0.032;0.033;0.033;0.038;0.033;0.033;0.033;0.029;0.032;0.032;0.034;0.029;0.032;0.032;0.034
0.031;0.031;0.032;0.032;0.037;0.031;0.032;0.034;0.035;0.031;0.031;0.033;0.035;0.031;0.031;0.033;0.032;0.032;0.033;0.032;0.038;0.033;0.033;0.033;0.029;0.032;0.032;0.033;0.027;0.032;0.032;0.033
0.031;0.031;0.032;0.031;0.037;0.031;0.032;0.033;0.035;0.03;0.031;0.033;0.035;0.03;0.031;0.032;0.032;0.032;0.033;0.032;0.037;0.033;0.033;0.033;0.028;0.032;0.032;0.033;0.027;0.032;0.032;0.033
0.031;0.031;0.032;0.031;0.038;0.031;0.032;0.032;0.036;0.03;0.031;0.032;0.037;0.03;0.031;0.032;0.032;0.032;0.033;0.032;0.035;0.032;0.033;0.033;0.026;0.032;0.032;0.032;0.027;0.032;0.032;0.032
0.031;0.03;0.032;0.031;0.039;0.031;0.032;0.032;0.036;0.03;0.031;0.031;0.036;0.03;0.031;0.031;0.032;0.032;0.033;0.032;0.035;0.032;0.033;0.032;0.028;0.032;0.032;0.032;0.025;0.032;0.031;0.032
